"","EE-a","L2-a","L2-b","L4-a","YA_female-a","YA_male-a"
"WBGene00057265",-3.04442121322715,1.34746343190332,3.14258578766408,1.05097724873048,3.36560655681232,2.33260694507637
"WBGene00057262",2.59403134015592,5.10442491051041,5.6970521839694,4.57461206906659,5.05410948347034,5.65936947571184
"WBGene00057261",-1.96065237095875,2.89642514859973,2.03143751189607,-3.41013126482676,-2.47476859530584,-0.653408305266882
"WBGene00057573",-3.41013126482676,-3.41013126482676,1.20975674040552,-3.41013126482676,2.94292487024225,2.41734153876012
"WBGene00057571",5.10318283042109,3.88728281160644,5.2692030838956,4.89540062601275,4.98150016472426,4.75180815259817
"WBGene00057566",3.67146709890856,-3.41013126482676,2.01172711788495,2.59159800166574,3.39533035361864,3.10301091231873
"WBGene00057564",-2.3030711075792,-3.41013126482676,-3.41013126482676,-3.41013126482676,-1.50820671472938,4.21303383756713
"WBGene00057556",4.82514001778332,-3.41013126482676,3.24743084000034,1.05097724873048,1.76484615623591,0.96804487751093
"WBGene00057555",-1.07693111009649,-3.41013126482676,0.5391895941388,1.05097724873048,0.274780254343303,1.01713886009082
"WBGene00057554",5.88237200347934,2.32054741464866,3.63975674860773,1.05097724873048,4.20807474346693,3.75140645246102
"WBGene00057553",6.20055871999377,3.30689872122648,4.1529891064368,3.31952932556237,4.34688951330642,3.34333801790267
"WBGene00057548",0.784502570509943,1.34746343190332,3.64989776857097,1.05097724873048,2.93889368903768,4.02981612686943
"WBGene00057547",-0.883935195475547,-3.41013126482676,0.752064099557492,-3.41013126482676,-1.19306026150854,-0.998991193419485
"WBGene00057545",2.20993052819498,3.30689872122648,5.04696483421267,5.07543630689876,4.93974869637447,5.92999010739348
"WBGene00080227",0.615901134589545,2.32054741464866,4.37557703139445,1.05097724873048,3.53540335551595,4.02481356080698
"WBGene00057544",-1.25238006015718,-3.41013126482676,0.163908889552799,-3.41013126482676,-0.357198884981518,0.723757320623811
"WBGene00080202",1.54432688613115,3.88728281160644,4.26545401600066,3.00099571516213,3.38943438432494,4.46603475514142
"WBGene00057542",-2.3030711075792,-3.41013126482676,-3.41013126482676,3.5802962964881,2.6785889631783,7.99608286981088
"WBGene00057541",6.34443231105551,1.34746343190332,2.81883448032661,4.68965110917533,6.07978937711663,5.04894892867772
"WBGene00057539",5.38636866098442,4.30002564554654,4.83784231945075,3.99249448154079,4.9518014893708,4.7181883402169
"WBGene00057538",9.63569385525832,8.29355226272586,7.52780180981828,7.69195845311282,7.42701735494262,6.56925622491213
"WBGene00057534",3.28026900225156,1.34746343190332,3.05381724092723,1.05097724873048,0.32506732329773,0.15026113317013
"WBGene00057533",3.8257835713816,3.6260815138343,4.31253208180075,3.5802962964881,3.00593738932752,3.59042046339396
"WBGene00057531",4.593385856341,6.05005683530194,7.12638874505348,5.84428798800194,6.15730081284045,4.94019142555852
"WBGene00057530",6.8486371695521,2.32054741464866,4.55481250647566,3.69490047377739,5.85971265992838,4.92580078713256
"WBGene00057527",5.38292898722917,1.34746343190332,0.720113161619117,3.00099571516213,6.44709253405531,2.54836465065151
"WBGene00057526",-3.41013126482676,-3.41013126482676,-2.28619714258,-3.41013126482676,-1.91201184114326,1.84048713823765
"WBGene00057524",-2.3030711075792,-3.41013126482676,0.0906441720940409,-3.41013126482676,-0.934564725285989,-0.374816798115391
"WBGene00057523",-1.07693111009649,-3.41013126482676,-0.199768441401541,1.05097724873048,-0.715423118708092,0.059434095958812
"WBGene00057522",-2.3030711075792,-3.41013126482676,-0.563763379778822,-3.41013126482676,-2.47476859530584,-0.998991193419485
"WBGene00057518",5.78347464737389,1.91453783243298,4.61972789276581,3.80106693685505,4.87370918744714,4.71880058447104
"WBGene00057516",-1.45215857870409,-3.41013126482676,-3.41013126482676,-3.41013126482676,-2.16612289212082,1.4335124253185
"WBGene00057508",-3.41013126482676,-3.41013126482676,-2.74137459709103,2.01784935916977,1.90368708127364,-1.75044759621632
"WBGene00057506",-0.53290841539197,-3.41013126482676,2.72208775444911,-3.41013126482676,1.70913105031679,1.3968838189066
"WBGene00057505",0.69058371310778,1.34746343190332,3.101217533688,2.01784935916977,3.48652912244566,2.36140833796767
"WBGene00057504",-1.45215857870409,1.34746343190332,0.454119679180884,1.05097724873048,-2.47476859530584,-0.998991193419485
"WBGene00057503",0.238406161872189,3.30689872122648,4.22001214657774,2.01784935916977,1.92013908596243,2.47118690612743
"WBGene00057498",3.40933344183359,4.46918494676777,6.15317206326669,3.80106693685505,5.75813403764448,6.14678899960536
"WBGene00057497",1.90997831230331,2.32054741464866,3.72393157627818,-3.41013126482676,1.5490942226754,2.13549222208863
"WBGene00080237",-0.779427227820409,12.2625697878138,9.47654927771936,12.7942082318077,6.338111112416,5.2738520254655
"WBGene00057490",-2.3030711075792,9.25429953381518,-1.94071043421016,9.1690539744282,11.7460865126559,12.2861201018683
"WBGene00057488",-1.34881401464565,11.7447206546341,7.84621324520229,13.097230059449,7.15945385111363,5.67066162072023
"WBGene00057483",5.16669561544649,-3.41013126482676,3.64935573348773,-3.41013126482676,2.48205971384682,1.84048713823765
"WBGene00057482",7.2444395100193,7.10146318571302,7.55826855286707,7.23277293171671,8.10708559718631,7.85542446107285
"WBGene00057479",4.88068902430019,1.34746343190332,0.645334464050451,1.05097724873048,5.3328381738701,2.97839885359292
"WBGene00057477",3.52269256717731,5.38383650008588,6.73515309913897,5.63054108522551,7.43078986771248,6.987405078081
"WBGene00080205",0.56387463350172,-3.41013126482676,0.670693808327999,-3.41013126482676,0.987135643635585,0.567734303032216
"WBGene00080208",2.23925188026467,-3.41013126482676,2.15787226011929,1.05097724873048,2.0303315181468,1.82678342394383
"WBGene00057474",0.975822867542276,2.89642514859973,3.6620558321976,1.05097724873048,2.06032872513949,1.82678342394383
"WBGene00057472",5.21493407345375,2.89642514859973,4.64553732321279,2.01784935916977,4.48046237783681,4.46382297685985
"WBGene00057470",4.80916725701072,4.75757709222803,5.21205462977587,3.5802962964881,3.72524775021943,4.00669578280184
"WBGene00057467",1.5576894737357,-3.41013126482676,1.84352708790261,-3.41013126482676,2.0303315181468,1.88083416926154
"WBGene00057466",7.34624636111187,2.32054741464866,5.21744228319224,4.44959886137524,4.90297411736597,5.16921029341346
"WBGene00057464",6.22257497509086,1.34746343190332,4.01005260099363,2.01784935916977,4.87106714781232,4.48360796101907
"WBGene00057463",-2.75291998425419,-3.41013126482676,-1.22800658811676,7.21367613911342,3.1028028872029,8.23034879946134
"WBGene00057461",-2.75291998425419,5.69218044857867,-3.41013126482676,9.96296087017877,5.46957454718995,9.37889675992242
"WBGene00080247",-1.56348118831229,-3.41013126482676,-1.01086662390697,-3.41013126482676,-0.206719935562608,4.24687223616535
"WBGene00057459",4.85791548772382,1.34746343190332,3.30524687514342,2.01784935916977,3.4473370527658,3.22295106931519
"WBGene00057456",5.43408995463823,1.34746343190332,2.73115595637491,2.01784935916977,3.58267598386715,3.4319954430597
"WBGene00057455",5.55103179467652,2.32054741464866,3.93486091458182,2.01784935916977,3.76221919289007,3.32882767860431
"WBGene00057454",6.3299033715589,1.34746343190332,3.62036502684485,2.59159800166574,4.73877796975219,3.22295106931519
"WBGene00057453",6.34828211025671,3.30689872122648,5.80262290409565,3.99249448154079,4.8545776168319,5.5941307422124
"WBGene00057452",2.07239824316775,2.32054741464866,2.2150104069923,2.59159800166574,2.58882286669767,2.78644284717459
"WBGene00080220",-1.45215857870409,1.34746343190332,0.424610580165469,-3.41013126482676,1.04828618946126,3.87972176574483
"WBGene00057449",0.271221444072782,-3.41013126482676,-0.396413858288325,-3.41013126482676,-0.934564725285989,-0.439585079806675
"WBGene00057447",0.170447737064389,-3.41013126482676,1.41876223692155,-3.41013126482676,-1.91201184114326,-0.815876787042818
"WBGene00057446",-3.41013126482676,-3.41013126482676,-3.41013126482676,2.01784935916977,0.274780254343303,6.43117538267035
"WBGene00080245",-2.03894265275025,-3.41013126482676,-2.10313655764257,2.01784935916977,-1.91201184114326,-2.62787021678121
"WBGene00057443",-3.04442121322715,-3.41013126482676,-3.41013126482676,-3.41013126482676,-3.11371165051489,1.28106411402278
"WBGene00057442",7.57599478702124,3.6260815138343,4.2571073760528,4.68965110917533,5.45077199675401,3.37428520173223
"WBGene00057441",5.87904929905286,3.88728281160644,4.49750635566176,2.81077038841025,4.37699742684323,4.35106916543397
"WBGene00057440",5.69780857724541,4.88268982535497,6.94731993295047,4.44959886137524,6.59146946223176,6.28974835452751
"WBGene00076319",-3.2157191116835,0.399834253701066,-2.10313655764257,2.18404608434372,0.333444482583332,-1.92493098764449
"WBGene00057427",-0.0149291114717814,1.34746343190332,2.51716762472489,-3.41013126482676,-0.820837036317922,-0.0885203498846936
"WBGene00057424",-2.75291998425419,-3.41013126482676,0.300140490783764,0.115034718190852,-0.525220967935579,-0.904530708405437
"WBGene00057423",-3.41013126482676,-3.41013126482676,-0.505796333939734,-3.41013126482676,-3.41013126482676,-2.12345809601685
"WBGene00080238",-2.12172650594376,-3.41013126482676,2.17126026713204,-3.41013126482676,1.9683985110347,3.0029791317338
"WBGene00057413",4.51249387256331,2.32054741464866,4.85913465727327,3.80106693685505,4.99321054134955,5.76464226808897
"WBGene00057410",-3.41013126482676,4.10836444254951,2.98977266201714,1.05097724873048,1.24395133836934,2.04370024177716
"WBGene00070843",0.615901134589545,-3.41013126482676,-2.4959084915648,-3.41013126482676,-3.41013126482676,-1.59480813252016
"WBGene00057409",3.80071516603449,4.30002564554654,4.90926660552437,3.00099571516213,3.05145394183562,4.08361380876891
"WBGene00080214",2.92827234356948,-3.41013126482676,3.13349480932309,-3.41013126482676,1.76484615623591,2.17928711439252
"WBGene00057407",-0.0550444239314896,5.10442491051041,6.31294756467981,4.79619062658642,5.08726821200322,4.55183537691845
"WBGene00057406",-3.41013126482676,-3.41013126482676,3.44039635612167,-3.41013126482676,3.34747381475451,3.71467396488027
"WBGene00080200",0.0621027116056941,1.34746343190332,3.11051353463875,-3.41013126482676,-0.438765241453451,0.753034709913524
"WBGene00057405",1.19688929034635,2.89642514859973,3.63975674860773,1.05097724873048,0.466196063178157,1.37821477141735
"WBGene00057404",1.12689788999819,-3.41013126482676,1.89822611727524,-3.41013126482676,0.112460635810761,-0.374816798115391
"WBGene00057403",-2.3030711075792,1.34746343190332,2.19766923209973,2.01784935916977,-0.820837036317922,2.19003121845148
"WBGene00057402",3.89584860296888,6.80213094482715,8.1186753109994,7.09346140775841,7.99312680122392,7.62629452032071
"WBGene00057396",-1.96065237095875,1.34746343190332,0.0525676323750197,-3.41013126482676,1.34489421773049,1.90711865155597
"WBGene00057393",5.56267678514613,1.34746343190332,4.13031871197972,3.00099571516213,3.97795289661047,4.14564099939234
"WBGene00057391",-1.34881401464565,-3.41013126482676,1.24394885360782,-3.41013126482676,-0.357198884981518,2.32287727467237
"WBGene00057388",4.23114755701018,2.32054741464866,2.7668692994315,2.01784935916977,2.18809422269123,1.69721440041883
"WBGene00057382",-3.41013126482676,-3.41013126482676,0.767895578927258,-3.41013126482676,-2.47476859530584,-1.32633629929674
"WBGene00057380",6.9721291327141,8.07498275190669,5.27902693003495,7.31571185751639,5.86237555607796,5.14318493520734
"WBGene00057379",3.58601302403185,2.32054741464866,2.93588500449955,2.59159800166574,2.160663671526,2.57319957339291
"WBGene00057378",6.47847248466972,2.89642514859973,3.97612842192317,3.5802962964881,4.55346529122686,4.30115055199808
"WBGene00057377",6.31940021831669,1.34746343190332,4.2799454391214,3.31952932556237,5.34355101616217,4.54557438053517
"WBGene00057374",6.21416109792175,3.88728281160644,5.34991224588318,3.99249448154079,4.8133358556384,4.60899720077863
"WBGene00057372",-1.16199014103091,-3.41013126482676,-2.74137459709103,5.44649002503466,2.29288063531755,9.02317514609506
"WBGene00057371",4.74855384650719,-3.41013126482676,0.619521371588698,-3.41013126482676,2.59907718245203,1.82678342394383
"WBGene00080230",4.50475329872214,-3.41013126482676,-0.154527189421377,1.05097724873048,2.40232754106566,1.77062857468478
"WBGene00057368",5.01753195196916,2.32054741464866,3.40305662633004,2.01784935916977,3.73457981347767,4.09794689703227
"WBGene00057367",5.11791629407264,6.02312843262678,6.57208512687613,6.07342240987347,6.02094115088012,6.38983423280122
"WBGene00057365",-2.75291998425419,-3.41013126482676,-2.28619714258,1.05097724873048,2.13270144681286,0.781729755563594
"WBGene00057363",-3.41013126482676,-3.41013126482676,-0.0680905345591002,-3.41013126482676,-1.50820671472938,-0.374816798115391
"WBGene00080215",-2.75291998425419,-3.41013126482676,0.767895578927258,-3.41013126482676,-0.617189824848057,0.355076971713276
"WBGene00057350",2.60050182153858,-3.41013126482676,3.11513916914572,-3.41013126482676,0.712763691052872,1.28106411402278
"WBGene00057347",4.00107822444621,-3.41013126482676,2.12614178835726,-3.41013126482676,2.72614667307058,2.16846239562071
"WBGene00057343",5.7202638239937,3.30689872122648,4.14396365237623,3.89995338720637,6.27948880903723,5.95382662536142
"WBGene00080213",-2.75291998425419,-3.41013126482676,-2.74137459709103,1.05097724873048,-1.69602720626506,5.77805630794674
"WBGene00057337",-3.41013126482676,-3.41013126482676,-2.4959084915648,-3.41013126482676,-0.934564725285989,3.50191521664102
"WBGene00057336",-1.96065237095875,-3.41013126482676,0.127741558252933,-3.41013126482676,-0.934564725285989,0.193616618064517
"WBGene00057329",4.4961036695181,-3.41013126482676,0.880855132738945,2.59159800166574,3.78035558390673,2.64523787090961
"WBGene00057326",6.57650074012178,4.88268982535497,5.48470239396358,5.07543630689876,5.64515145329115,4.77874906493735
"WBGene00057322",-1.45215857870409,-3.41013126482676,2.46738798807358,-3.41013126482676,0.466196063178157,1.69721440041883
"WBGene00057320",8.23114882768301,5.20369756570527,5.85817505578596,5.57176153477666,5.66114476284252,4.60498847849404
"WBGene00057319",4.32887989524871,1.34746343190332,2.01172711788495,-3.41013126482676,3.26615329329216,2.66076937012071
"WBGene00057318",6.66636368104079,2.89642514859973,4.38996302374652,3.5802962964881,4.72947311040097,4.46382297685985
"WBGene00057317",-0.779427227820409,2.32054741464866,0.233632112169871,9.38928671291208,2.28019105996974,2.56496867620471
"WBGene00080211",1.57092942883092,-3.41013126482676,1.08326858735016,-3.41013126482676,2.37871345523013,1.37821477141735
"WBGene00057313",2.94362215772227,-3.41013126482676,2.5379869433046,-3.41013126482676,3.08101959754237,2.01980975581544
"WBGene00057312",2.06773584192308,-3.41013126482676,2.7668692994315,-3.41013126482676,1.90368708127364,1.69721440041883
"WBGene00057310",-1.34881401464565,-3.41013126482676,-2.28619714258,-3.41013126482676,-1.34204535571655,-0.653408305266882
"WBGene00057309",5.40666087537105,4.46918494676777,5.16598595858226,4.79619062658642,5.2077529844293,5.35491925830521
"WBGene00057308",7.39916518557412,4.62057518730051,6.40931251745337,5.23547723433011,6.26346040975051,6.38399755676372
"WBGene00057306",5.43273081574071,1.34746343190332,5.09048235659674,3.31952932556237,4.58088672462809,4.56633956019965
"WBGene00057305",5.65648677277194,6.77009706392943,6.64366772779623,6.87991337187387,7.13976282444281,7.13804949933083
