"","EE-a","EE-b","L2-a","L2-b","L4-a","L4-b","YA-a","YA-b"
"WBGene00270422",-1.30074947024233,-1.41743662373484,-0.515622108846376,3.0478088477831,-1.34364745790458,3.49607476751534,2.64325447221556,2.82450472480578
"WBGene00270423",6.62203433369484,6.35418489418843,6.02353670226166,6.26300108363293,6.36371167417631,6.34889532212671,5.84864698520524,5.85526697857647
"WBGene00270425",-0.681021551360502,-0.178649764147722,-0.515622108846376,0.505915068953826,1.82627754353774,0.776062306630328,1.12593068836977,1.30439336843459
"WBGene00270426",-1.04359163074521,-1.81336530006598,-0.515622108846376,1.29619647765249,-1.34364745790458,2.08444386967974,1.3309124261574,0.288451824565572
"WBGene00270427",3.13448881944065,2.88415102286835,3.18481760929472,3.19718647182132,2.35679226023652,3.22688813469995,4.31046538469643,4.14311246140153
"WBGene00270429",4.30242451997864,4.14937853027606,1.80630598604099,4.17467494055077,2.35679226023652,4.81349379623756,4.14914540194552,3.96401687406764
"WBGene00270430",-6.65830147486042,-3.7393647186222,-0.515622108846376,-5.90347586718388,2.74381538334576,3.29433858391996,6.07728214687916,5.86604849566368
"WBGene00270431",-2.95786175671933,-3.7393647186222,-0.515622108846376,1.42744101093074,-1.34364745790458,0.374445323113805,-2.44806069453039,-2.88147317687674
"WBGene00270432",-4.33637337997306,-6.06129281350956,2.65430289259594,1.56412968289912,3.514333537223,2.43120010141104,3.11764724911082,2.93102504845682
"WBGene00270434",4.78826493420565,4.30612193773726,3.57184073240396,4.37381153294648,3.94175476095767,5.3031373205293,4.887735652861,4.50223111559731
"WBGene00270435",1.90011923840825,1.91025074044121,2.65430289259594,3.65303018748805,4.32877788406692,5.73286589792121,2.22693400705324,2.49008568573522
"WBGene00270437",-6.65830147486042,-6.06129281350956,1.80630598604099,1.7185759522725,-1.34364745790458,0.224419879109198,0.750719169584111,1.0633852689308
"WBGene00270438",1.47612484536051,0.652952704156559,1.80630598604099,1.29619647765249,-1.34364745790458,0.374445323113805,1.60820752511636,0.818966541264352
"WBGene00270439",-6.65830147486042,-6.06129281350956,-0.515622108846376,-5.90347586718388,0.978280636982787,1.29198316292183,2.76846471977407,2.61037991945293
"WBGene00270440",-6.65830147486042,-6.06129281350956,-0.515622108846376,-4.31851336646272,0.978280636982787,2.99169736179147,3.83902200797078,4.2621651330453
"WBGene00270441",-6.65830147486042,-6.06129281350956,-0.515622108846376,-3.58154777229651,2.74381538334576,2.14833748627837,4.41105049653504,4.68076924734433
"WBGene00270443",0.541370869975946,1.47008864700675,1.80630598604099,1.23607548521492,-1.34364745790458,1.46922354786591,2.45445146056756,2.2642042783189
"WBGene00270444",5.54596398127642,5.55479650007255,3.57184073240396,3.54153897868455,4.1482056384251,3.25618244149399,3.99789469185045,3.86537700622131
"WBGene00270445",5.81210320220522,5.52037854506858,3.87669531393238,4.57327033675559,5.13208597306182,4.82982328625786,5.39913904854482,5.15524992912878
"WBGene00270446",4.61374504952952,4.50190345870717,-0.515622108846376,-2.20303614904278,-1.34364745790458,-5.96540467977082,2.85737927756841,3.276378992265
"WBGene00270448",-4.33637337997306,-3.7393647186222,-0.515622108846376,-0.949279556797,0.978280636982787,0.66395194030879,0.0697876103322327,0.154150732853981
"WBGene00270449",-2.95786175671933,-3.25393789145196,-0.515622108846376,-2.44404424854658,-1.34364745790458,-1.32154848999609,-0.0248492638058424,0.288451824565572
"WBGene00270450",-1.70410516447354,-2.36085309536847,-0.515622108846376,-0.545923862565792,-1.34364745790458,3.02043725723252,2.54783490713688,2.31229856651994
"WBGene00270451",3.90870389538662,4.25272389039179,-0.515622108846376,2.82784316384119,2.35679226023652,3.27538665239114,4.21533568163998,4.59911509335712
"WBGene00270452",-5.07333897413926,-3.7393647186222,-0.515622108846376,-3.58154777229651,1.82627754353774,1.98296255181386,0.886923553182422,1.13644873112052
"WBGene00270453",2.45804248637705,3.00748546447585,-0.515622108846376,-0.0705858530191338,1.82627754353774,1.82249787962061,4.9054871580838,4.76382498707189
"WBGene00270454",1.84552426313533,1.77791097458738,-0.515622108846376,-0.859081747825422,-1.34364745790458,-1.71747716632723,-3.58556421828032,-2.03347627032179
"WBGene00270455",2.03866605137387,1.6869000360799,-0.515622108846376,-5.90347586718388,-1.34364745790458,-3.64347658488346,-5.90749231316768,-5.2034012717641
"WBGene00270457",6.44219661355647,6.85887392372931,2.65430289259594,3.03021478776836,3.30020873187015,4.75825626463916,6.62996878146533,6.8663841232192
"WBGene00270458",0.776326752776307,0.83352494979838,-0.515622108846376,1.3349288721412,-1.34364745790458,1.68564701140811,-0.235066971196188,-0.559545081989378
"WBGene00270459",4.26428292785325,4.40733122940846,-0.515622108846376,2.70754893012348,3.04866996487418,3.93998232524731,3.46971821722087,4.20386649248063
"WBGene00270460",0.307482809801669,0.680174172891583,-0.515622108846376,0.0272614703790107,-1.34364745790458,0.0569631332576352,-0.953296002780808,-1.11593843051376
"WBGene00270461",1.47612484536051,1.91025074044121,2.65430289259594,3.15991921410463,3.04866996487418,3.50016172503858,2.76846471977407,3.52111258135585
"WBGene00270462",2.87891692567818,2.41848745051954,1.80630598604099,1.70385444656574,3.86580590772437,2.50627053462123,-0.481227558465586,-2.88147317687674
"WBGene00270463",-1.16644837853074,-0.932009796564597,-0.515622108846376,-5.90347586718388,-1.34364745790458,-1.21051717760735,0.0697876103322327,0.469024070207393
"WBGene00270464",-2.57083863361008,-3.7393647186222,-0.515622108846376,1.4452522870472,-1.34364745790458,-1.87794183852048,-1.38393035711067,-2.03347627032179
"WBGene00270465",-3.48837647341811,-6.06129281350956,-0.515622108846376,-0.694022501554926,-1.34364745790458,0.542389960427877,-0.86309819380923,-0.159007152405649
"WBGene00270466",0.992750216318511,1.32241147896449,3.18481760929472,4.27269728192361,1.82627754353774,3.32691695303122,2.36397071473669,2.951416837288
"WBGene00270467",4.29807468238925,4.47495440217856,2.65430289259594,3.32293632560491,2.35679226023652,3.89723267778797,3.89825155898393,4.19106142284621
"WBGene00270468",6.58621102274061,6.61444374185234,4.3423588862812,5.12925866140284,4.38427299665862,5.03529958924043,5.30500407202626,5.2508980218558
"WBGene00270469",-1.16644837853074,-0.932009796564597,-0.515622108846376,-0.618073648321627,-1.34364745790458,-0.473551583441145,0.321326377328197,0.469024070207393
"WBGene00270470",-0.468476915980401,-0.228402799344822,1.80630598604099,-1.81601302593354,-1.34364745790458,-1.57308725699206,-1.82002947191734,-2.88147317687674
"WBGene00270471",3.879887457192,3.95690736530366,1.80630598604099,2.88768702137114,3.04866996487418,3.64746381752022,4.29340629187076,4.61518090571676
"WBGene00270472",0.16187748755477,0.477865997598468,-0.515622108846376,-5.90347586718388,-1.34364745790458,-5.96540467977082,-4.32252981244653,-5.2034012717641
"WBGene00270473",4.58070028290516,4.5870647685001,3.57184073240396,4.66352950306316,4.1482056384251,4.88712482963338,4.78686557405377,4.78101718703704
"WBGene00270474",2.46840299798277,2.74283820767375,-0.515622108846376,-1.51115844440512,-1.34364745790458,-5.96540467977082,4.50930521443838,5.06455581263874
"WBGene00270475",-6.65830147486042,-6.06129281350956,-0.515622108846376,-5.90347586718388,-1.34364745790458,0.14311977700735,2.94737607009255,2.68534197713416
"WBGene00270478",-1.52901845791545,-0.569439717179889,1.80630598604099,0.635682943924156,4.58708987965831,4.41072070950536,6.2489068317039,5.99197093563864
"WBGene00270479",-0.825411460695676,-0.932009796564597,-0.515622108846376,1.84471698240558,-1.34364745790458,0.953458557503775,-2.20705259502659,-1.50296155362301
"WBGene00270480",3.5078616077857,3.36287347530854,5.50674570418208,3.87295716526086,4.1482056384251,4.14181239582056,3.95824095768408,3.20174019137224
"WBGene00270481",5.16625955510986,5.10675245471453,3.57184073240396,4.84219845681826,4.58708987965831,5.25073487665431,5.73951632527396,5.59830708715236
"WBGene00270482",-0.825411460695676,-1.20331181838199,2.65430289259594,4.57124407934261,1.82627754353774,3.73329998699953,0.158596877290089,0.905123185014067
"WBGene00270483",-4.33637337997306,-2.89136781206725,-0.515622108846376,-0.288766023068667,0.978280636982787,0.409634751576105,0.860692011609243,0.524519182799097
"WBGene00270484",4.38130304309334,4.19491587501782,3.18481760929472,0.9420141837605,5.42453686687235,3.72982361172493,5.48106319081488,5.09007037707403
"WBGene00270485",2.71890905552813,2.5644160295549,2.65430289259594,2.44082004073194,0.978280636982787,2.3246141671618,-0.179571858604484,0.986423287115915
"WBGene00270487",2.94717804320125,2.36077195266325,-0.515622108846376,2.99436958882164,3.70074666145388,3.02611716630488,3.19841619540347,3.08661757516852
"WBGene00270488",2.79084717051502,2.86054812356493,2.65430289259594,3.77424377445713,1.82627754353774,4.13394313063237,4.12179491380056,4.38718577815093
"WBGene00270489",5.6514590698692,5.35814073719581,5.31726790531837,4.2551338210306,6.10756365392775,3.7402277075906,4.58135203328965,4.31426811636971
"WBGene00270490",3.98284712255081,3.93729761623577,-0.515622108846376,-5.90347586718388,-1.34364745790458,-5.96540467977082,-5.90749231316768,-5.2034012717641
"WBGene00270492",-0.930381020297219,-1.6689753907308,-0.515622108846376,0.0272614703790107,-1.34364745790458,-0.921010560412366,-1.26363612339296,-2.88147317687674
"WBGene00270494",-6.65830147486042,-6.06129281350956,-0.515622108846376,-5.90347586718388,-1.34364745790458,-2.26496496162973,-0.292782469052475,1.89463081119642
"WBGene00270495",5.2331025218046,5.17292586472891,3.18481760929472,4.05507684824714,4.99620254498005,4.62049676991995,5.30500407202626,5.38998985102763
