"","EE--","L2--","L4--","Ad_female--","Ad_male--"
"WBGene00126550",1.78012973915967,0.850663886802564,1.30680226942169,1.53975253283457,1.17163443989613
"WBGene00126551",5.82133659601235,5.48056376730561,5.32633411513094,6.65968101326165,5.62397064347915
"WBGene00126553",4.2714688458911,4.60572584514175,5.32633411513094,5.45076303378038,4.89732129285221
"WBGene00126556",-1.33264820947104,-0.961657211059676,-0.724167838019722,-2.46214443944264,-3.04811967952493
"WBGene00126558",0.238093870065644,1.4920014431314,0.21287978727176,-1.23859547153924,-0.364332613255586
"WBGene00126559",9.1183158768537,10.4497239571835,11.7245350095216,10.8455604922188,11.8829463885849
"WBGene00126560",6.12420436560811,5.39277877091028,5.4132483689553,6.07644448056515,5.23230859690418
"WBGene00126562",1.74093799603865,1.05917233485968,-1.94723452618694,1.04220083289678,8.99070409076926
"WBGene00126563",-3.04811967952493,-1.53439677933425,-3.04811967952493,5.22870220813202,-0.0880242243606585
"WBGene00126565",0.293319320923659,0.313269330258174,0.0293978402013209,-1.04584201487585,-3.04811967952493
"WBGene00126568",6.00106218843478,4.08757241268177,3.34424119635854,1.86170590384288,1.73055371827158
"WBGene00126569",4.45824576294549,2.96421403106285,3.39257820243633,3.80038008598982,3.13946196025952
"WBGene00126571",5.50924634864686,6.56574348391543,6.65360712928471,6.89007835993794,5.62157005033172
"WBGene00126573",3.53937000520364,4.89392938292659,4.51663861415315,4.94074638115929,4.88135657518071
"WBGene00126574",3.43273017695785,1.91309690320129,1.22373919864761,-1.72436916533884,-0.219573599103374
"WBGene00126577",2.75451164346848,3.82753852639572,2.66664269110036,1.59865127714776,1.86651870286666
"WBGene00126578",4.72247433898481,5.46782314153097,6.0247175116796,6.15825926639983,5.95093918812241
"WBGene00126579",4.77434638656817,4.24946115304998,4.7045066019827,2.43058168269367,3.13946196025952
"WBGene00126581",7.38013069752114,7.1064304190281,7.35696299944893,7.44976989098102,6.79832020162443
"WBGene00126583",5.54381644341559,6.22320390231787,5.07111571994144,4.12982110174247,3.88726232613849
"WBGene00126585",5.07937336960857,4.86922771966316,5.10921880276584,5.47060795995076,4.80724499825871
"WBGene00126587",-1.94914790478483,-2.10121688288049,-1.33015270492182,-2.04660083695359,6.29470109403571
"WBGene00126588",-3.04811967952493,-1.53439677933425,-3.04811967952493,-3.04811967952493,5.02632943120657
"WBGene00126589",-1.33264820947104,0.0260154147603436,-0.899319782435759,-1.46113241050301,6.34067077579996
"WBGene00126590",5.88676173995416,4.0293043466988,4.34548462519636,5.88564753088988,5.4670218490256
"WBGene00126591",0.293319320923659,-0.234545075152783,-3.04811967952493,-2.46214443944264,-2.30122613021503
"WBGene00126594",3.9663124332212,4.19749083595852,4.05842825734566,3.48626508037533,2.96865500171136
"WBGene00126603",0.397806202112919,0.758020413873868,-3.04811967952493,-3.04811967952493,-1.44664834020296
"WBGene00126605",0.397806202112919,1.2751393671271,0.776232568965962,-2.46214443944264,-3.04811967952493
"WBGene00126607",2.99001909722477,2.98480139911963,2.56906783176247,2.7750416901419,1.96069303105855
"WBGene00126609",5.51796684210189,5.64642484500425,5.38246323715889,6.28021713555367,4.84477662550218
"WBGene00126610",10.1365612012417,0.937715487055697,0.296552593187602,-0.0454627534551656,3.37431400725591
"WBGene00126611",-0.783063172457701,0.496475978321749,0.0293978402013209,-0.345110548331533,-0.364332613255586
"WBGene00126613",2.53150729738474,3.61287181917295,2.14133870433275,3.34719772471931,8.23375465412097
"WBGene00126614",9.38888462904039,10.9481390805101,10.4639546238442,10.545152319658,10.1277457192586
"WBGene00126615",-3.04811967952493,-3.04811967952493,-1.94723452618694,9.43482242220006,4.13627339076179
"WBGene00126618",-0.386045134114831,-0.333021796291526,-1.60594915759156,-0.238162005496707,2.98368719694474
"WBGene00126620",0.180669990413233,-0.961657211059676,-1.94723452618694,-3.04811967952493,-3.04811967952493
"WBGene00126622",4.62896698767664,5.780524077399,6.53372219476932,5.72309377686802,5.84585771367843
"WBGene00126623",2.77405709033268,5.88141760042592,6.51310023824572,5.74607245056373,6.2642464792468
"WBGene00126624",3.30419266903104,6.93717722848612,6.1008828614937,4.12982110174247,6.25807764334553
"WBGene00126626",-0.783063172457701,1.20668066252596,-0.180866907761062,-0.5862035140131,-0.913610486218929
"WBGene00126627",2.1073569748648,0.850663886802564,1.89516521046997,8.67857645592398,6.40907974169769
"WBGene00126629",4.57148443006242,3.97374234898843,3.03880110081528,2.97723756063465,3.38567614682018
"WBGene00126633",4.81972338337078,4.27893450944353,4.79719784449526,3.18369465961378,2.23646199898664
"WBGene00126634",7.49132063650472,5.64157085403128,6.01394243004782,7.05885708225395,6.14059947564684
"WBGene00126635",4.02866367242573,5.22769753584623,6.58869884889563,5.63614743175312,5.71685897852904
"WBGene00126641",3.82822552542641,3.78708472173211,3.53719723199533,5.23799502485929,3.45203158949365
"WBGene00126642",6.97721554527305,8.8824310640336,8.81809738394199,9.08661195603346,7.859967298354
"WBGene00126643",2.48482423307464,1.134810926357,0.716724032961241,1.65523947189189,0.747370236751547
"WBGene00126646",0.630050352084572,0.758020413873868,-1.09871316264367,-0.238162005496707,2.02022529728176
"WBGene00126649",4.36465841356622,4.61235656259782,4.14562777661076,3.93788600732736,3.31612098678887
"WBGene00126654",4.7249871899647,7.80516285261058,3.95921226731951,8.31713307210557,6.96191672012356
"WBGene00126656",7.98990557202407,8.17069171843216,8.31125353291986,7.57925303222353,7.87717573582474
"WBGene00126657",6.38555185929341,6.54683001624338,7.23766128489817,8.86424621281475,8.2667743827465
"WBGene00126658",3.88774978233274,2.56004141658389,2.09535025217005,3.10462081032563,2.92259515901477
"WBGene00126659",5.04760458619533,4.54116584170035,4.30059113962085,5.70979688984515,4.51818384623915
"WBGene00126660",1.72093550522087,-0.0557186826273672,2.50014736759845,0.655122807919424,-0.706403527246131
"WBGene00126661",8.31080804611631,5.69408713784882,4.31571138796266,3.78143817378805,4.53868615237055
"WBGene00126662",3.23535758380167,1.4920014431314,2.39017024062842,3.96612015270461,1.76576501022741
"WBGene00126664",4.61277576965259,5.19935101656145,4.70067216306212,4.24491587556911,4.40548916863394
"WBGene00126665",3.53937000520364,1.99656625501991,2.87152667258062,0.276541181753591,-0.706403527246131
"WBGene00126666",-3.04811967952493,-0.676621097530429,-0.724167838019722,1.41421016145844,2.26134759007071
"WBGene00126668",-3.04811967952493,-1.1285167572912,-3.04811967952493,-3.04811967952493,0.14377539158569
"WBGene00126672",2.9127717597207,2.4006348638476,1.45982633678923,0.124504381991231,1.00482088799763
"WBGene00126674",3.65983467266817,2.57369618808807,1.45982633678923,1.83745664397488,1.89859806003662
"WBGene00126676",7.64882525656875,5.55988603053018,3.75990054401697,4.03704306647833,3.19218126889987
"WBGene00126679",1.03834789740952,1.84716459610615,0.941311134092555,-1.04584201487585,1.86651870286666
"WBGene00126680",0.120865368079766,0.496475978321749,0.589794796163782,0.9089170347355,1.9299795981134
"WBGene00126681",1.74093799603865,1.24131603918294,1.78359036593958,2.44670210536978,8.48551505484627
"WBGene00126682",-1.7131550402331,-0.0557186826273672,-0.567996782473504,0.346944954968484,1.45660329956497
"WBGene00126683",-0.783063172457701,-0.961657211059676,0.833383415882601,0.539626145586842,0.518793732767548
"WBGene00126687",4.12313860358816,5.67521075123531,5.85052038039847,5.99108424388827,7.67439489083324
"WBGene00126689",5.44668078663274,5.29724804073299,5.48411213938827,5.82218865356232,4.38298831129723
"WBGene00126691",-0.570940010670374,0.937715487055697,0.521880931510601,2.25862037226178,1.17163443989613
"WBGene00126695",7.47983570462618,6.73099608371058,6.85419539510637,7.04104984316242,5.69647437840005
"WBGene00126698",-0.00673795848649703,0.552715803946435,-0.180866907761062,0.9089170347355,5.04794461819991
"WBGene00126699",6.27757495509934,4.6353269831471,4.4768372320917,4.19330106207524,3.1123618216029
"WBGene00126700",7.51692288104981,6.74614934274645,7.4042933328741,3.569595304161,1.54032303460355
"WBGene00126702",3.25635513920502,4.15724641041534,3.33437636968738,0.861604796701962,2.57101323174962
"WBGene00126703",-0.673106471548111,0.103366190558923,-1.60594915759156,-1.72436916533884,-1.81156529056744
"WBGene00126706",0.495234018036667,1.01981200125795,0.716724032961241,0.202524634257674,0.518793732767548
"WBGene00126708",2.34806415351844,5.35176015745382,7.01027061194911,4.37275118683644,5.32079384691808
"WBGene00126709",-0.0750377463584799,-3.04811967952493,-3.04811967952493,-3.04811967952493,-3.04811967952493
"WBGene00126711",3.71143373911922,3.32065244142541,3.66863101106042,4.6760012230137,4.29533927247205
"WBGene00126715",1.92704547653138,1.99656625501991,0.296552593187602,0.346944954968484,8.63164912636302
"WBGene00126716",5.49753641723121,5.9910599203713,6.07149147991311,6.36959720028756,5.89836372888555
"WBGene00126717",3.19966791464369,3.50298058506927,3.15544891219427,1.24016308567045,2.23646199898664
"WBGene00126719",-2.23144093502044,-0.81211118016719,-1.33015270492182,-1.46113241050301,-0.706403527246131
"WBGene00126721",5.23380430198688,3.81609558038557,3.45763956286538,5.13978132883965,3.41923532929392
"WBGene00126722",5.52663494033786,5.05835427285226,4.70833087662343,6.09574080634189,5.06924073018873
"WBGene00126724",4.16445497335652,2.33800520405362,4.83616832909312,0.478214610203969,0.518793732767548
"WBGene00126727",6.19479190098053,6.20138011193896,6.16629359360877,6.69300511650632,7.39826963827188
"WBGene00126728",-3.04811967952493,-2.49833730150301,-3.04811967952493,-3.04811967952493,2.89105080924138
"WBGene00126731",2.16771258930373,3.02511520861514,2.16379462655201,3.34719772471931,2.15912109998014
"WBGene00126733",5.0110080277516,4.04898968020503,4.34548462519636,4.88268191489596,4.2832398385561
"WBGene00126737",-0.386045134114831,0.103366190558923,-0.298732924303851,1.38104009119278,2.72207137616521
"WBGene00126738",5.55656960768527,5.83114224275723,4.97914378111209,2.04229004397662,3.83848352875159
"WBGene00126742",-0.673106471548111,-0.81211118016719,-0.899319782435759,1.27669285043699,9.73055247960752
"WBGene00126743",-0.301785693228966,-0.234545075152783,-3.04811967952493,-2.46214443944264,-1.81156529056744
"WBGene00126745",2.29493338155036,-0.676621097530429,1.49567426607007,-1.23859547153924,-0.706403527246131
"WBGene00126746",5.21961886519603,5.50036016177965,6.10813809171391,6.18733229323712,5.91021385970257
"WBGene00126747",3.65983467266817,3.32065244142541,5.06217792673021,3.0841560975072,3.62498641322065
"WBGene00126748",-1.51039311405438,-0.333021796291526,-3.04811967952493,-2.46214443944264,-2.30122613021503
"WBGene00126754",4.79123073023394,6.81315542001903,7.46996688742424,6.26892834722603,6.79832020162443
"WBGene00126755",4.9064078126963,4.00431383700941,4.07629490421977,5.5037302182069,4.63228069661899
"WBGene00126756",-1.51039311405438,-0.961657211059676,-0.427092041567332,2.50944072883507,9.32594196836243
"WBGene00126758",-2.58274775145643,-0.961657211059676,-1.94723452618694,-1.46113241050301,-1.15565024494844
"WBGene00126759",5.82836485042149,5.83964408038736,5.96363344209191,5.08161002994602,6.10323394738591
"WBGene00126760",-1.7131550402331,-0.55277023222025,-0.899319782435759,0.478214610203969,8.11632692281736
"WBGene00126761",-3.04811967952493,-3.04811967952493,-3.04811967952493,4.54735773098853,0.675128465808053
"WBGene00126764",4.34845280871483,3.22004964335509,2.93817759603164,4.17889779541969,3.05658482859091
"WBGene00126765",-2.23144093502044,-3.04811967952493,-1.33015270492182,-3.04811967952493,3.26781513794871
"WBGene00126766",5.2495979521513,6.64791352442945,6.63061543782467,6.54830360499818,6.77906222123604
"WBGene00126767",-2.23144093502044,-2.49833730150301,-0.899319782435759,10.6283908915206,11.6813946197518
"WBGene00126768",2.4966373783227,2.64009621919725,3.07479627732959,1.73616583049355,1.96069303105855
"WBGene00126769",6.57853174416025,4.00431383700941,5.37526470715002,7.06865583706634,7.13431981609831
"WBGene00126775",-0.673106471548111,-1.1285167572912,-1.33015270492182,-3.04811967952493,-1.44664834020296
"WBGene00126776",1.13221090115309,2.18627910111026,2.87152667258062,2.27676867879983,2.02022529728176
"WBGene00126777",-0.301785693228966,-1.1285167572912,-0.0719073051649126,1.20268428682843,3.83848352875159
"WBGene00126779",-1.33264820947104,-1.1285167572912,-1.33015270492182,-0.723762203455793,-1.81156529056744
"WBGene00126781",4.1345245573444,4.2579437318916,2.89855765478308,1.68272240943035,2.55096839151285
"WBGene00126782",2.88607533882696,2.96421403106285,1.42306491551896,0.861604796701962,0.14377539158569
"WBGene00126783",5.56220169420644,5.68467981692152,6.3513163460675,3.4306157613775,4.69299056217255
"WBGene00126784",0.937950485164058,0.709367814628768,0.888356296019302,1.50937619481596,0.816166410189956
"WBGene00126785",6.41619637592493,8.5750088825503,9.06419301347549,9.44049365035341,9.23208866896411
"WBGene00126786",-0.386045134114831,-2.10121688288049,-0.298732924303851,-0.0454627534551656,-1.44664834020296
"WBGene00126787",-1.0318423226833,-2.10121688288049,-1.33015270492182,-3.04811967952493,-1.81156529056744
"WBGene00126788",5.46633784188818,5.6831059489729,5.56858709642841,6.85124562972484,5.17452560908808
"WBGene00126789",-1.51039311405438,-2.49833730150301,-3.04811967952493,-1.72436916533884,1.45660329956497
"WBGene00126790",8.35162643470083,8.30005120677838,8.48878107660386,7.94501888104768,9.23189195502212
"WBGene00126796",5.48721167497923,5.02146449066253,5.31383769484409,5.55667938999599,5.5875354527699
"WBGene00126797",3.28388478633972,2.85662542199414,3.63687799620317,5.48238519509823,4.12275697271993
"WBGene00126798",7.75775657411559,8.51810416320707,9.20449593008196,7.08355251198826,7.80707503495665
"WBGene00126800",-1.33264820947104,2.01670026302625,0.450611455691984,-1.04584201487585,0.343435828407564
"WBGene00126801",5.10274913230717,4.35206881150371,3.89354836667948,1.41421016145844,1.49907036495091
