"","EE-SRS267689","L2-SRS183252","L2-SRS267690","L4-SRS183253","YA_female-SRS267691","YA_male-SRS267692"
"WBGene00071617",-6.20340958731627,1.61504626796685,-2.08460933870672,-1.01605829888539,-2.08300644562832,0.0928652664563557
"WBGene00071615",1.79094384954259,3.68543559585825,1.54902700875012,3.07140454236495,-1.45497522301528,-1.45814990234146
"WBGene00071613",-6.20340958731627,5.02103862764269,4.22346195550524,6.69130083319549,6.00686530424796,6.42875181893364
"WBGene00071612",0.762374697345815,5.02103862764269,4.1396761350479,4.34149370573269,0.686380626230261,-0.674961291414611
"WBGene00081235",3.51881733435725,-0.706881826920514,-4.58710967923591,-1.01605829888539,-5.54243806426562,-5.88441465704356
"WBGene00071610",6.21263843072288,-0.706881826920514,-2.08460933870672,-1.01605829888539,-5.54243806426562,-5.88441465704356
"WBGene00069288",3.00360473286126,-0.706881826920514,-2.47163246181597,-1.01605829888539,-0.498043944907166,-5.88441465704356
"WBGene00069289",1.43321503322738,-0.706881826920514,-6.17207217995706,-1.01605829888539,-5.54243806426562,-5.88441465704356
"WBGene00069290",0.666955132267133,-0.706881826920514,-6.17207217995706,-1.01605829888539,-5.54243806426562,-5.88441465704356
"WBGene00071513",-3.88148149242891,2.83661405650526,-6.17207217995706,8.58678900300189,3.0524836507613,8.13592293825199
"WBGene00071507",5.10017711445951,-0.706881826920514,-2.08460933870672,-1.01605829888539,2.19227155596022,-1.79695181579322
"WBGene00071501",7.67358689890443,9.05300635630132,9.08700901017505,8.91023769589572,9.07531635033853,9.1551898609102
"WBGene00071500",4.91747625547152,4.65067017769757,4.43494366598782,3.84192269624218,5.74738487626974,4.90918865223585
"WBGene00071499",4.21127564849094,1.61504626796685,3.31777578048223,1.30586979600197,3.50468584784841,3.38471202210586
"WBGene00071510",3.29842759758602,5.40164262985766,5.51923515023405,2.15386670255692,0.434841859234297,0.910001209306545
"WBGene00071509",1.18029470515778,9.84290284102735,5.15604171487659,9.43205800652407,7.58055165858895,6.92072460727317
