"","EE-AF16_EE","EE-AF16_EEb","L2-AF16_L2","L2-AF16_L2b","L4-AF16_L4","L4-AF16_L4b","YA-AF16_YA","YA-AF16_Yab","mixed-AF16_Mx"
"WBGene00039712",2.46667845587189,2.88043437244263,4.72942877633535,1.16024500741549,5.04150283777192,0.298810209298895,1.5531690121329,1.65730489701849,6.54060933982757
"WBGene00039713",-4.13323438631524,-5.85088465858244,-0.314965343023101,-4.12515721144675,2.02160328033422,-4.18231648043772,-3.38229073567239,-5.0009065857333,4.95564683910642
"WBGene00039714",0.744509863633765,0.126395264917479,-0.314965343023101,2.19074709581284,-1.1483217211081,-0.275425884829202,-1.61675598930941,-1.54147496709601,4.95564683910642
"WBGene00039715",5.49283964977507,5.23724103360577,3.77249749822724,4.82028662493116,4.68456829305665,5.56195676057492,5.60923111040331,5.67593202074085,6.54060933982757
"WBGene00039716",7.72979032392165,7.68499819416882,6.28494749916403,5.51448496937059,6.42910710692765,4.64951854644718,5.26372787525296,5.35774461515958,4.95564683910642
"WBGene00039717",5.63792490924162,5.74390645950683,4.32889084675162,5.3512514804919,4.06113164452085,5.5256177742503,6.53269228088485,6.62890535864893,4.95564683910642
"WBGene00039718",-0.188375940507698,-0.0179946444176962,-0.314965343023101,-5.71011971216791,-1.1483217211081,-5.76727898115888,-5.70421883055975,-5.0009065857333,4.95564683910642
"WBGene00039719",4.09654578041809,3.80554020469534,-0.314965343023101,-0.852138717040339,-1.1483217211081,-5.76727898115888,5.15142833546752,5.2243008512102,4.95564683910642
"WBGene00039720",4.02562771989322,4.00242489682124,2.85495965841921,5.49628420180594,4.96020273567007,6.52129875583383,4.20116817445838,4.57840935184671,4.95564683910642
"WBGene00039721",2.79986608861613,2.65294107941331,4.89448802260585,4.06959964297549,3.49553446866663,3.5111704770616,2.91416667169886,2.73380303449253,4.95564683910642
"WBGene00039722",5.90431256764694,6.03595504730198,4.54301565210447,5.61124471987154,3.49553446866663,4.98510166539402,4.89848003445822,4.92835182290367,6.54060933982757
"WBGene00039723",4.0575779816009,3.80196031441954,2.00696275186426,4.03974971522893,5.1184648195868,4.43851426823828,5.87368200632722,5.81046810777664,4.95564683910642
"WBGene00039724",6.4103774895831,6.3404830548365,4.89448802260585,6.05101593766074,6.41392070311298,6.5236038412707,6.41569495489252,6.31594059786917,4.95564683910642
"WBGene00039725",2.45473060256744,2.84608286765185,5.29974450109211,5.91238974251542,4.06113164452085,5.88242628431254,5.10071884149216,4.86173077182549,4.95564683910642
"WBGene00039727",-3.28523747976029,-2.15044494044135,-0.314965343023101,-5.71011971216791,-1.1483217211081,-0.909297986031305,1.3292041709777,1.8694581338501,4.95564683910642
"WBGene00039730",0.78324225812248,-0.359031562252763,4.72942877633535,6.05184698321418,4.5795987334551,5.76751023032139,4.58925281827838,5.04485307564938,4.95564683910642
"WBGene00039731",-6.4551624812026,-5.85088465858244,3.77249749822724,5.45792555605618,5.72204299847531,1.05289998125631,2.33470015873255,3.00471796346057,4.95564683910642
"WBGene00039732",-4.13323438631524,-5.85088465858244,3.38547437511799,1.62079716594671,4.34353137522158,3.33862952741228,2.71784593561306,2.57652224230244,4.95564683910642
"WBGene00039733",1.18146213934105,1.4252397466918,-0.314965343023101,-0.352567707549827,-1.1483217211081,-1.37496155838012,-1.79732823495123,-1.30046686759221,4.95564683910642
"WBGene00039734",1.85317654893681,2.03785859031582,-0.314965343023101,-1.31780228938915,-1.1483217211081,-1.37496155838012,-3.38229073567239,-1.83098158429099,4.95564683910642
"WBGene00039735",6.07646265722002,6.19726159563712,2.00696275186426,4.51508772477559,2.02160328033422,4.0829078564869,3.28730301551595,3.78372825982422,4.95564683910642
"WBGene00039736",-1.41076836184415,-1.7634218173321,-0.314965343023101,-1.62265687091757,-1.1483217211081,-3.44535088627151,-2.24478721192245,-1.83098158429099,4.95564683910642
"WBGene00039737",6.07207014524497,6.13744499064865,-0.314965343023101,-1.06626352239319,-1.1483217211081,-4.18231648043772,5.13419724523759,5.68996442355901,4.95564683910642
"WBGene00039738",0.439655282105344,0.688274152525594,-0.314965343023101,0.267160211332005,-1.1483217211081,0.341245475619292,-1.79732823495123,-1.83098158429099,4.95564683910642
"WBGene00039739",-2.75472276306151,-2.15044494044135,-0.314965343023101,1.54726813052474,-1.1483217211081,-0.152569137043669,-2.24478721192245,-5.0009065857333,4.95564683910642
"WBGene00039741",6.04194087581428,5.78890823469687,4.72942877633535,6.90849520808289,4.46638812300711,5.16567391103584,1.74699228127258,2.25648125695935,4.95564683910642
"WBGene00039742",2.24874109224206,1.95001524133787,4.32889084675162,2.86352747532541,2.02160328033422,3.06877137389919,5.14831067884445,4.97207320033299,4.95564683910642
"WBGene00039743",0.203049001549195,-0.806490539223984,2.00696275186426,4.56949086888457,3.24399570167066,5.33009478783134,4.4843700151476,4.59341801819154,4.95564683910642
"WBGene00039744",2.94358121073559,2.71516937958865,3.38547437511799,5.15638650005829,1.17360637377927,3.17816485521903,0.524599859936131,1.06518260472447,4.95564683910642
"WBGene00039745",-0.305415361697917,-0.42461990388034,-0.314965343023101,0.699271223969791,-1.1483217211081,-0.21269012948124,1.43533252183904,1.59900625645382,4.95564683910642
"WBGene00039746",4.52140164221273,4.53820886332204,7.08591409325908,6.38494758943914,4.78241561645479,4.72957479622916,4.97789793439032,4.88326393337513,4.95564683910642
"WBGene00039747",5.77094861692979,5.74110510903269,2.00696275186426,2.99378386127675,4.78241561645479,3.60558607895371,4.89662328382755,5.22670935768092,4.95564683910642
"WBGene00039748",5.5153029595774,5.85690583694639,3.77249749822724,3.08754181368585,3.89607239825036,3.20138781203633,4.85324487103807,5.34892750572394,4.95564683910642
"WBGene00039749",8.23707159298664,8.18640489342701,6.60389789425149,6.14980326069385,7.23105664596317,5.32217149995703,6.8077808388817,6.82365444423698,4.95564683910642
"WBGene00039750",7.62806751092554,7.89237194574275,5.29974450109211,6.8764855484357,6.58638789911774,6.61885295615612,7.42940505622323,7.57439628934009,4.95564683910642
"WBGene00039752",3.57412474576565,3.08869455573226,-0.314965343023101,-5.71011971216791,-1.1483217211081,-5.76727898115888,-3.38229073567239,-5.0009065857333,4.95564683910642
"WBGene00039753",0.802225361490052,-0.641431292953488,-0.314965343023101,-5.71011971216791,-1.1483217211081,-5.76727898115888,-3.38229073567239,-5.0009065857333,4.95564683910642
"WBGene00039754",0.286304505198548,-0.493332653964354,-0.314965343023101,-5.71011971216791,-1.1483217211081,-5.76727898115888,-5.70421883055975,-5.0009065857333,4.95564683910642
"WBGene00039755",1.97529007046293,2.19896389086812,-0.314965343023101,-5.71011971216791,-1.1483217211081,-5.76727898115888,-5.70421883055975,-1.83098158429099,4.95564683910642
"WBGene00039756",-3.28523747976029,-3.04352973652483,-0.314965343023101,1.91193210728847,-1.1483217211081,1.94008015092201,0.226518507003136,-0.913443744482965,4.95564683910642
"WBGene00039757",1.63759465971725,1.48003221953218,5.75112384743467,7.86978544128343,5.19152828177653,6.4540060366516,5.80308029356302,5.85629688577486,4.95564683910642
"WBGene00039758",2.86901806541614,2.78211053856052,2.85495965841921,4.2714475697351,-1.1483217211081,2.30418338139775,1.43533252183904,1.4084843504044,4.95564683910642
"WBGene00039760",3.73095175833904,3.48227069172818,3.77249749822724,3.92105734353607,4.46638812300711,4.48656850382853,4.66755781377817,4.1102290845014,4.95564683910642
"WBGene00039761",3.59604645971217,3.41355794164416,-0.314965343023101,-0.283854957465813,1.17360637377927,-1.51935146771529,4.84748943106094,4.00752203633728,6.54060933982757
